Puissance depolar
12-05-2022 12:54:09.202
Date	Time	Puissance depolar
12-05-2022 12:54:14.831	138	0.000000
12-05-2022 12:54:15.831	1138	0.000000
12-05-2022 12:54:16.832	2139	0.011456
12-05-2022 12:54:17.832	3139	0.012378
12-05-2022 12:54:18.832	4139	0.012182
12-05-2022 12:54:19.832	5139	0.011725
12-05-2022 12:54:20.832	6139	0.010047
12-05-2022 12:54:21.833	7140	0.011952
12-05-2022 12:54:22.833	8140	0.010573
12-05-2022 12:54:23.834	9141	0.010988
12-05-2022 12:54:24.834	10141	0.008956
12-05-2022 12:54:25.835	11142	0.010205
12-05-2022 12:54:26.835	12142	0.010205
12-05-2022 12:54:27.835	13143	0.008655
12-05-2022 12:54:28.835	14143	0.012590
12-05-2022 12:54:29.836	15143	0.010079
12-05-2022 12:54:30.837	16144	0.000000
12-05-2022 12:54:31.837	17144	0.010047
12-05-2022 12:54:32.837	18144	0.010108
12-05-2022 12:54:33.837	19144	0.009593
12-05-2022 12:54:34.837	20144	0.008289
12-05-2022 12:54:35.836	21144	0.009549
12-05-2022 12:54:36.838	22145	0.011351
12-05-2022 12:54:37.839	23146	0.009559
12-05-2022 12:54:38.840	24147	0.007630
12-05-2022 12:54:39.840	25148	0.010022
12-05-2022 12:54:40.841	26148	1.263912
12-05-2022 12:54:41.841	27149	0.937429
12-05-2022 12:54:42.842	28150	0.929529
12-05-2022 12:54:43.843	29150	0.923486
12-05-2022 12:54:44.843	30150	0.923898
12-05-2022 12:54:45.843	31150	0.923265
12-05-2022 12:54:46.843	32150	0.924956
12-05-2022 12:54:47.844	33151	0.925424
12-05-2022 12:54:48.844	34151	0.928373
12-05-2022 12:54:49.844	35151	0.928719
12-05-2022 12:54:50.844	36152	0.925075
12-05-2022 12:54:51.845	37152	0.925053
12-05-2022 12:54:52.845	38152	0.922954
12-05-2022 12:54:53.846	39153	0.919037
12-05-2022 12:54:54.846	40154	0.924885
12-05-2022 12:54:55.848	41155	0.925395
12-05-2022 12:54:56.847	42155	0.924731
12-05-2022 12:54:57.848	43155	0.922770
12-05-2022 12:54:58.848	44155	0.920304
12-05-2022 12:54:59.847	45155	0.920881
12-05-2022 12:55:00.848	46155	0.925647
12-05-2022 12:55:01.848	47155	0.925853
12-05-2022 12:55:02.848	48155	0.917131
12-05-2022 12:55:03.848	49155	0.921389
12-05-2022 12:55:04.848	50155	0.926608
12-05-2022 12:55:05.848	51155	0.922106
12-05-2022 12:55:06.848	52155	0.926269
12-05-2022 12:55:07.847	53155	0.925313
12-05-2022 12:55:08.847	54155	0.925699
12-05-2022 12:55:09.848	55155	0.872838
12-05-2022 12:55:10.849	56156	0.872838
12-05-2022 12:55:11.849	57157	0.872838
12-05-2022 12:55:12.850	58157	0.872838
12-05-2022 12:55:13.850	59157	0.872838
12-05-2022 12:55:14.850	60157	0.872838
