Energie IR (mJ)
28-06-2022-11:34:29.073
Date,Time,Mean,Sigma,Max,Min,Rapport
28-06-2022-11:34:42.348,10547,29.388983,0.175649,29.927840,28.756560,0.597669
28-06-2022-11:34:54.316,22516,29.386713,0.177114,30.047970,28.636420,0.602702
