Energie UV (mJ)
28-06-2022-11:34:29.046
Date,Time,Mean,Sigma,Max,Min,Rapport
28-06-2022-11:34:42.348,10547,NaN,-0.000000,0.000000,0.000000,NaN
28-06-2022-11:34:54.316,22516,NaN,-0.000000,0.000000,0.000000,NaN
