Puissance depolar (W)
12-05-2022 12:07:48.343
Date	Time	Mean	Sigma	Max	Min	Rapport
12-05-2022 12:08:03.658	11142	0.008804	0.001183	0.011505	0.005624	13.433158
12-05-2022 12:08:15.661	23146	0.008932	0.000948	0.011453	0.006724	10.609794
12-05-2022 12:08:27.665	35150	0.008707	0.001009	0.010815	0.005539	11.591294
12-05-2022 12:08:39.673	47157	0.008798	0.001194	0.011155	0.005413	13.574939
12-05-2022 12:08:51.772	59256	0.008911	0.000969	0.011258	0.006479	10.876111
12-05-2022 12:09:03.684	71168	0.008971	0.001239	0.012544	0.005278	13.808673
