Energie IR
12-05-2022 12:14:16.461
Date	Time	Energie IR
12-05-2022 12:14:17.506	21	0.000000
12-05-2022 12:14:18.507	1022	0.000000
12-05-2022 12:14:19.506	2022	0.000000
12-05-2022 12:14:20.508	3023	25.332800
12-05-2022 12:14:21.507	4023	26.158700
12-05-2022 12:14:22.508	5024	25.693190
12-05-2022 12:14:23.509	6025	25.918440
12-05-2022 12:14:24.511	7026	26.038570
12-05-2022 12:14:25.511	8026	26.158700
12-05-2022 12:14:26.510	9026	25.918440
12-05-2022 12:14:27.512	10027	25.918440
12-05-2022 12:14:28.512	11028	25.918440
12-05-2022 12:14:29.512	12028	25.918440
12-05-2022 12:14:30.513	13028	25.693190
12-05-2022 12:14:31.512	14028	26.278840
12-05-2022 12:14:32.514	15029	26.038570
12-05-2022 12:14:33.515	16030	25.693190
12-05-2022 12:14:34.515	17030	26.278840
12-05-2022 12:14:35.515	18030	26.158700
12-05-2022 12:14:36.515	19031	25.693190
12-05-2022 12:14:37.516	20031	25.918440
12-05-2022 12:14:38.516	21032	25.332800
12-05-2022 12:14:39.518	22033	25.452930
12-05-2022 12:14:40.519	23034	25.798310
12-05-2022 12:14:41.519	24035	26.278840
12-05-2022 12:14:42.520	25035	26.038570
12-05-2022 12:14:43.520	26036	25.798310
12-05-2022 12:14:44.521	27037	25.693190
12-05-2022 12:14:45.523	28038	26.038570
12-05-2022 12:14:46.523	29038	25.452930
12-05-2022 12:14:47.523	30038	25.798310
12-05-2022 12:14:48.523	31038	25.693190
12-05-2022 12:14:49.523	32038	25.573060
12-05-2022 12:14:50.522	33038	25.918440
12-05-2022 12:14:51.524	34039	26.398970
12-05-2022 12:14:52.525	35040	26.038570
12-05-2022 12:14:53.524	36040	25.798310
12-05-2022 12:14:54.524	37040	25.798310
12-05-2022 12:14:55.525	38040	26.158700
12-05-2022 12:14:56.525	39040	25.573060
12-05-2022 12:14:57.525	40040	25.693190
12-05-2022 12:14:58.524	41040	25.918440
12-05-2022 12:14:59.525	42040	25.798310
12-05-2022 12:15:00.524	43040	26.278840
12-05-2022 12:15:01.525	44040	25.798310
12-05-2022 12:15:02.524	45040	25.798310
12-05-2022 12:15:03.526	46041	26.038570
12-05-2022 12:15:04.525	47041	25.918440
12-05-2022 12:15:05.525	48041	26.038570
12-05-2022 12:15:06.527	49042	26.278840
12-05-2022 12:15:07.526	50042	26.158700
12-05-2022 12:15:08.526	51042	25.798310
12-05-2022 12:15:09.527	52042	25.798310
12-05-2022 12:15:10.528	53043	26.038570
12-05-2022 12:15:11.528	54043	26.038570
