Energie IR (mJ)
13-05-2022 09:13:05.866
Date	Time	Mean	Sigma	Max	Min	Rapport
13-05-2022 09:13:18.161	11021	0.000000	0.000000	0.000000	0.000000	NaN
13-05-2022 09:13:30.167	23026	0.000000	0.000000	0.000000	0.000000	NaN
13-05-2022 09:13:34.680
