Puissance_depolar
28-06-2022-11:36:15.810
Date,Time,Puissance_depolar
28-06-2022-11:36:17.436,184,0.000000
28-06-2022-11:36:18.312,1061,0.000000
28-06-2022-11:36:19.312,2061,0.000000
28-06-2022-11:36:20.313,3062,0.000000
28-06-2022-11:36:21.313,4061,0.000000
28-06-2022-11:36:22.314,5062,0.000000
28-06-2022-11:36:23.313,6061,0.000000
28-06-2022-11:36:24.313,7061,0.000000
28-06-2022-11:36:25.314,8062,0.000000
28-06-2022-11:36:26.313,9061,0.000000
28-06-2022-11:36:27.314,10062,0.000000
28-06-2022-11:36:28.313,11061,0.000000
28-06-2022-11:36:29.313,12061,0.000000
28-06-2022-11:36:30.313,13061,0.000000
28-06-2022-11:36:31.313,14061,0.000000
28-06-2022-11:36:32.313,15061,0.000000
28-06-2022-11:36:33.313,16061,0.000000
28-06-2022-11:36:34.314,17062,0.000000
28-06-2022-11:36:35.313,18061,0.000000
28-06-2022-11:36:36.314,19062,0.000000
28-06-2022-11:36:37.312,20061,0.000000
28-06-2022-11:36:38.312,21061,0.000000
28-06-2022-11:36:39.313,22062,0.000000
28-06-2022-11:36:40.312,23061,0.000000
28-06-2022-11:36:41.312,24061,0.000000
28-06-2022-11:36:42.313,25061,0.000000
28-06-2022-11:36:43.313,26061,0.000000
28-06-2022-11:36:44.312,27061,0.000000
28-06-2022-11:36:45.313,28061,0.000000
28-06-2022-11:36:47.830
