Watlow
12-05-2022 11:26:03.448
Date	Time	Temperature Doubleur	Heat Power Doubleur	Cool Power Doubleur	Temperature Tripleur	Heat Power Tripleur	Cool Power Tripleur	Temperature Banc	Heat Power Banc	Cool Power Banc
12-05-2022 11:26:05.646	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
12-05-2022 11:26:05.647	43	34.993000	40.010000	26.001000	0.000000	0.000000	0.000000	86.802000	61.051000	68.846000
12-05-2022 11:26:07.454	1851	34.999000	39.999000	26.001000	0.000000	0.000000	0.000000	90.879000	74.630000	71.534000
12-05-2022 11:26:08.455	2851	34.999000	39.974000	26.001000	0.000000	0.000000	0.000000	87.719000	84.244000	65.418000
12-05-2022 11:26:09.455	3851	34.999000	40.006000	25.994000	0.000000	0.000000	0.000000	90.421000	86.655000	69.782000
12-05-2022 11:26:10.454	4851	35.006000	39.999000	26.001000	0.000000	0.000000	0.000000	85.538000	78.005000	72.169000
12-05-2022 11:26:11.454	5851	35.006000	39.992000	26.001000	0.000000	0.000000	0.000000	87.589000	77.048000	76.200000
12-05-2022 11:26:12.455	6851	34.999000	39.999000	26.001000	0.000000	0.000000	0.000000	86.021000	81.055000	68.720000
12-05-2022 11:26:13.454	7851	34.993000	39.999000	26.001000	0.000000	0.000000	0.000000	83.837000	78.888000	68.869000
12-05-2022 11:26:14.454	8851	35.006000	39.992000	26.001000	0.000000	0.000000	0.000000	87.490000	75.938000	70.526000
12-05-2022 11:26:15.455	9852	35.006000	40.035000	26.001000	0.000000	0.000000	0.000000	87.334000	92.929000	68.430000
12-05-2022 11:26:16.457	10853	34.993000	39.999000	26.008000	0.000000	0.000000	0.000000	84.552000	75.363000	67.770000
12-05-2022 11:26:17.457	11854	34.993000	39.999000	26.008000	0.000000	0.000000	0.000000	86.816000	76.829000	72.259000
12-05-2022 11:26:18.457	12854	34.999000	39.985000	26.008000	0.000000	0.000000	0.000000	90.724000	76.305000	71.466000
12-05-2022 11:26:19.457	13854	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
12-05-2022 11:26:19.459
