Energie IR
12-05-2022 11:41:54.629
Date	Time	Energie IR
12-05-2022 11:41:57.648	137	0.000000
12-05-2022 11:41:58.649	1138	0.000000
12-05-2022 11:41:59.649	2138	0.000000
12-05-2022 11:42:00.648	3138	25.798310
12-05-2022 11:42:01.648	4138	25.693190
12-05-2022 11:42:02.649	5138	26.038570
12-05-2022 11:42:03.649	6138	25.693190
12-05-2022 11:42:04.648	7138	25.693190
12-05-2022 11:42:05.649	8139	25.798310
12-05-2022 11:42:06.649	9139	25.918440
12-05-2022 11:42:07.651	10140	25.573060
12-05-2022 11:42:08.652	11141	26.038570
12-05-2022 11:42:09.652	12141	25.918440
12-05-2022 11:42:10.652	13142	25.693190
12-05-2022 11:42:11.654	14143	25.693190
12-05-2022 11:42:12.653	15143	25.918440
