Energie_UV
28-06-2022-11:33:33.130
Date,Time,Energie_UV
28-06-2022-11:33:36.022,130,0.000000
28-06-2022-11:33:36.312,421,0.000000
28-06-2022-11:33:37.313,1421,0.000000
28-06-2022-11:33:38.314,2422,0.000000
28-06-2022-11:33:39.313,3421,0.000000
28-06-2022-11:33:40.314,4422,0.000000
28-06-2022-11:33:41.313,5422,0.000000
28-06-2022-11:33:42.313,6421,0.000000
28-06-2022-11:33:43.313,7421,0.000000
28-06-2022-11:33:44.314,8422,0.000000
28-06-2022-11:33:45.313,9421,0.000000
28-06-2022-11:33:46.313,10421,0.000000
28-06-2022-11:33:47.313,11422,0.000000
28-06-2022-11:33:48.313,12421,0.000000
