Puissance depolar
12-05-2022 12:04:02.375
Date	Time	Puissance depolar
12-05-2022 12:04:08.600	173	0.000000
12-05-2022 12:04:09.600	1173	0.000000
12-05-2022 12:04:10.600	2173	0.000000
12-05-2022 12:04:11.600	3173	0.009843
12-05-2022 12:04:12.600	4173	0.009843
12-05-2022 12:04:13.599	5173	0.009660
12-05-2022 12:04:14.600	6173	0.008516
12-05-2022 12:04:15.599	7173	0.010921
12-05-2022 12:04:16.599	8173	0.008134
12-05-2022 12:04:17.601	9174	0.009205
12-05-2022 12:04:18.601	10174	0.009200
12-05-2022 12:04:19.600	11174	0.009342
12-05-2022 12:04:20.602	12175	0.009984
12-05-2022 12:04:21.603	13176	0.010719
12-05-2022 12:04:22.602	14176	0.015209
12-05-2022 12:04:23.602	15176	0.010942
12-05-2022 12:04:24.603	16176	0.010303
12-05-2022 12:04:25.603	17176	0.009444
12-05-2022 12:04:26.603	18176	0.009644
12-05-2022 12:04:27.602	19176	0.009130
12-05-2022 12:04:28.603	20176	0.009464
12-05-2022 12:04:29.603	21176	0.010265
12-05-2022 12:04:30.603	22177	0.008901
12-05-2022 12:04:31.604	23177	0.009190
12-05-2022 12:04:32.604	24177	0.008409
12-05-2022 12:04:33.604	25177	0.008201
12-05-2022 12:04:34.603	26177	0.010644
12-05-2022 12:04:35.603	27177	0.008512
12-05-2022 12:04:36.604	28177	0.009902
12-05-2022 12:04:37.604	29178	0.007237
12-05-2022 12:04:38.604	30178	0.010172
12-05-2022 12:04:39.606	31179	0.008395
12-05-2022 12:04:40.606	32180	0.008762
12-05-2022 12:04:41.607	33181	0.009466
12-05-2022 12:04:42.608	34182	0.011173
12-05-2022 12:04:43.609	35182	0.012096
12-05-2022 12:04:44.609	36182	0.008769
12-05-2022 12:04:45.608	37182	0.010368
12-05-2022 12:04:46.608	38182	0.010294
12-05-2022 12:04:47.610	39183	0.008318
12-05-2022 12:04:48.610	40184	0.009331
12-05-2022 12:04:49.611	41184	0.008650
12-05-2022 12:04:50.611	42184	0.009372
12-05-2022 12:04:51.611	43184	0.008736
