Energie UV
13-05-2022 09:15:41.992
Date	Time	Energie UV
13-05-2022 09:15:43.009	81	0.000000
13-05-2022 09:15:44.009	1081	0.000000
13-05-2022 09:15:45.009	2081	0.000000
13-05-2022 09:15:46.010	3081	0.000000
13-05-2022 09:15:47.009	4081	0.000000
13-05-2022 09:15:48.010	5081	0.000000
13-05-2022 09:15:49.009	6081	0.000000
13-05-2022 09:15:50.010	7082	0.000000
13-05-2022 09:15:51.010	8082	0.000000
13-05-2022 09:15:52.011	9082	0.000000
13-05-2022 09:15:53.010	10082	0.000000
13-05-2022 09:15:54.010	11082	0.000000
13-05-2022 09:15:55.011	12083	0.000000
13-05-2022 09:15:56.012	13083	0.000000
13-05-2022 09:15:57.012	14084	0.000000
13-05-2022 09:15:58.012	15084	0.000000
13-05-2022 09:15:59.013	16084	0.000000
13-05-2022 09:16:00.014	17085	0.000000
13-05-2022 09:16:01.014	18086	0.000000
13-05-2022 09:16:02.015	19086	0.000000
13-05-2022 09:16:03.016	20087	0.000000
13-05-2022 09:16:04.015	21087	0.000000
13-05-2022 09:16:05.015	22087	0.000000
13-05-2022 09:16:06.015	23087	0.000000
13-05-2022 09:16:07.016	24087	0.000000
13-05-2022 09:16:08.016	25087	0.000000
13-05-2022 09:16:09.016	26087	0.000000
13-05-2022 09:16:10.015	27087	0.000000
13-05-2022 09:16:11.016	28088	0.000000
13-05-2022 09:16:12.017	29088	0.000000
13-05-2022 09:16:13.018	30089	0.000000
