Energie IR
13-05-2022 09:15:42.051
Date	Time	Energie IR
13-05-2022 09:15:43.009	81	0.000000
13-05-2022 09:15:44.009	1081	0.000000
13-05-2022 09:15:45.009	2081	0.000000
13-05-2022 09:15:46.010	3081	27.450120
13-05-2022 09:15:47.009	4081	27.690390
13-05-2022 09:15:48.010	5081	27.570250
13-05-2022 09:15:49.009	6081	28.050780
13-05-2022 09:15:50.010	7082	28.276030
13-05-2022 09:15:51.010	8082	28.155900
13-05-2022 09:15:52.011	9082	28.516290
13-05-2022 09:15:53.010	10082	28.756560
13-05-2022 09:15:54.010	11082	28.756560
13-05-2022 09:15:55.011	12083	28.981800
13-05-2022 09:15:56.012	13083	28.981800
13-05-2022 09:15:57.012	14084	29.101940
13-05-2022 09:15:58.012	15084	28.861670
13-05-2022 09:15:59.013	16084	29.101940
13-05-2022 09:16:00.014	17085	29.101940
13-05-2022 09:16:01.014	18086	29.222070
13-05-2022 09:16:02.015	19086	28.981800
13-05-2022 09:16:03.016	20087	29.101940
13-05-2022 09:16:04.015	21087	28.861670
13-05-2022 09:16:05.015	22087	29.222070
13-05-2022 09:16:06.015	23087	29.222070
13-05-2022 09:16:07.016	24087	28.861670
13-05-2022 09:16:08.016	25087	29.462330
13-05-2022 09:16:09.016	26087	29.222070
13-05-2022 09:16:10.015	27087	29.101940
13-05-2022 09:16:11.016	28088	29.222070
13-05-2022 09:16:12.017	29088	28.981800
13-05-2022 09:16:13.018	30089	28.981800
