Energie_UV
28-06-2022-11:31:46.219
Date,Time,Energie_UV
28-06-2022-11:31:51.525,178,0.000000
28-06-2022-11:31:52.314,967,0.000000
28-06-2022-11:31:53.314,1967,0.000000
28-06-2022-11:31:54.313,2966,0.000000
28-06-2022-11:31:55.313,3967,0.000000
28-06-2022-11:31:56.313,4966,0.000000
28-06-2022-11:31:57.313,5966,0.000000
28-06-2022-11:31:58.314,6967,0.000000
28-06-2022-11:31:59.313,7966,0.000000
28-06-2022-11:32:00.313,8967,0.000000
28-06-2022-11:32:01.313,9966,0.000000
28-06-2022-11:32:02.312,10966,0.000000
28-06-2022-11:32:03.313,11966,0.000000
28-06-2022-11:32:04.313,12966,0.000000
28-06-2022-11:32:05.314,13967,0.000000
28-06-2022-11:32:06.313,14966,0.000000
28-06-2022-11:32:07.313,15966,0.000000
28-06-2022-11:32:08.313,16966,0.000000
28-06-2022-11:32:09.313,17966,0.000000
28-06-2022-11:32:10.313,18966,0.000000
28-06-2022-11:32:11.312,19966,0.000000
28-06-2022-11:32:12.314,20967,0.000000
28-06-2022-11:32:13.313,21966,0.000000
28-06-2022-11:32:14.313,22967,0.000000
28-06-2022-11:32:15.312,23966,0.000000
28-06-2022-11:32:16.313,24967,0.000000
28-06-2022-11:32:17.313,25966,0.000000
28-06-2022-11:32:18.314,26967,0.000000
28-06-2022-11:32:19.313,27966,0.000000
28-06-2022-11:32:20.313,28966,0.000000
28-06-2022-11:32:21.314,29967,0.000000
28-06-2022-11:32:22.314,30967,0.000000
28-06-2022-11:32:23.313,31966,0.000000
28-06-2022-11:32:24.314,32967,0.000000
28-06-2022-11:32:25.313,33966,0.000000
28-06-2022-11:32:26.313,34966,0.000000
28-06-2022-11:32:27.314,35967,0.000000
28-06-2022-11:32:28.313,36966,0.000000
28-06-2022-11:32:29.313,37966,0.000000
28-06-2022-11:32:30.314,38967,0.000000
28-06-2022-11:32:31.313,39966,0.000000
28-06-2022-11:32:32.313,40966,0.000000
28-06-2022-11:32:33.312,41966,0.000000
28-06-2022-11:32:34.313,42967,0.000000
28-06-2022-11:32:35.312,43966,0.000000
28-06-2022-11:32:36.313,44967,0.000000
28-06-2022-11:32:37.312,45966,0.000000
28-06-2022-11:32:38.312,46966,0.000000
28-06-2022-11:32:39.312,47966,0.000000
28-06-2022-11:32:40.312,48966,0.000000
28-06-2022-11:32:41.312,49966,0.000000
28-06-2022-11:32:42.312,50966,0.000000
28-06-2022-11:32:43.312,51966,0.000000
28-06-2022-11:32:44.312,52966,0.000000
28-06-2022-11:32:45.312,53966,0.000000
28-06-2022-11:32:46.313,54967,0.000000
28-06-2022-11:32:47.313,55967,0.000000
28-06-2022-11:32:48.313,56966,0.000000
28-06-2022-11:32:49.314,57967,0.000000
28-06-2022-11:32:50.313,58966,0.000000
28-06-2022-11:32:51.313,59966,0.000000
28-06-2022-11:32:52.313,60966,0.000000
28-06-2022-11:32:53.313,61966,0.000000
