Puissance_depolar
28-06-2022-11:28:46.983
Date,Time,Puissance_depolar
28-06-2022-11:28:48.832,198,0.000000
28-06-2022-11:28:49.312,678,0.000000
28-06-2022-11:28:50.313,1679,0.000000
28-06-2022-11:28:51.312,2678,0.000000
28-06-2022-11:28:52.313,3679,0.000000
28-06-2022-11:28:53.313,4679,0.000000
28-06-2022-11:28:54.313,5679,0.000000
28-06-2022-11:28:55.312,6678,0.000000
28-06-2022-11:28:56.313,7679,0.000000
28-06-2022-11:28:57.313,8679,0.000000
28-06-2022-11:28:58.312,9678,0.000000
28-06-2022-11:28:59.312,10678,0.000000
28-06-2022-11:29:00.312,11678,0.000000
28-06-2022-11:29:01.312,12678,0.000000
28-06-2022-11:29:02.312,13678,0.000000
28-06-2022-11:29:03.313,14679,0.000000
28-06-2022-11:29:04.312,15678,0.000000
28-06-2022-11:29:05.312,16678,0.000000
28-06-2022-11:29:06.313,17679,0.000000
28-06-2022-11:29:07.312,18678,0.000000
28-06-2022-11:29:08.312,19678,0.000000
28-06-2022-11:29:09.312,20678,0.000000
28-06-2022-11:29:10.313,21679,0.000000
28-06-2022-11:29:11.312,22678,0.000000
28-06-2022-11:29:12.312,23678,0.000000
28-06-2022-11:29:13.312,24678,0.000000
28-06-2022-11:29:14.312,25678,0.000000
28-06-2022-11:29:15.313,26679,0.000000
28-06-2022-11:29:16.312,27678,0.000000
28-06-2022-11:29:17.312,28678,0.000000
28-06-2022-11:29:18.313,29679,0.000000
28-06-2022-11:29:19.313,30679,0.000000
28-06-2022-11:29:20.313,31679,0.000000
28-06-2022-11:29:21.313,32679,0.000000
28-06-2022-11:29:22.312,33678,0.000000
28-06-2022-11:29:23.312,34678,0.000000
28-06-2022-11:29:24.313,35679,0.000000
28-06-2022-11:29:25.312,36678,0.000000
28-06-2022-11:29:26.312,37678,0.000000
28-06-2022-11:29:27.312,38678,0.000000
28-06-2022-11:29:28.312,39678,0.000000
28-06-2022-11:29:29.312,40678,0.000000
28-06-2022-11:29:30.312,41678,0.000000
28-06-2022-11:29:31.312,42678,0.000000
28-06-2022-11:29:32.312,43678,0.000000
28-06-2022-11:29:33.312,44678,0.000000
28-06-2022-11:29:34.312,45678,0.000000
28-06-2022-11:29:35.312,46678,0.000000
28-06-2022-11:29:36.312,47678,0.000000
28-06-2022-11:29:37.312,48678,0.000000
28-06-2022-11:29:38.312,49678,0.000000
28-06-2022-11:29:39.312,50678,0.000000
28-06-2022-11:29:40.312,51678,0.000000
28-06-2022-11:29:41.313,52679,0.000000
28-06-2022-11:29:42.313,53679,0.000000
28-06-2022-11:29:43.312,54678,0.000000
28-06-2022-11:29:44.313,55679,0.000000
28-06-2022-11:29:45.312,56678,0.000000
28-06-2022-11:29:46.312,57678,0.000000
28-06-2022-11:29:47.312,58678,0.000000
28-06-2022-11:29:48.312,59678,0.000000
28-06-2022-11:29:49.312,60678,0.000000
28-06-2022-11:29:50.313,61679,0.000000
28-06-2022-11:29:51.313,62679,0.000000
28-06-2022-11:29:52.313,63679,0.000000
28-06-2022-11:29:53.312,64678,0.000000
28-06-2022-11:29:54.312,65678,0.000000
28-06-2022-11:29:55.312,66678,0.000000
28-06-2022-11:29:56.313,67679,0.000000
28-06-2022-11:29:57.312,68678,0.000000
28-06-2022-11:29:58.313,69679,0.000000
28-06-2022-11:29:59.313,70679,0.000000
28-06-2022-11:30:00.313,71679,0.000000
28-06-2022-11:30:01.313,72679,0.000000
28-06-2022-11:30:02.312,73678,0.000000
28-06-2022-11:30:03.312,74678,0.000000
28-06-2022-11:30:04.312,75678,0.000000
28-06-2022-11:30:05.312,76678,0.000000
28-06-2022-11:30:06.312,77678,0.000000
28-06-2022-11:30:07.312,78678,0.000000
28-06-2022-11:30:08.312,79678,0.000000
28-06-2022-11:30:09.313,80679,0.000000
28-06-2022-11:30:10.313,81679,0.000000
28-06-2022-11:30:11.313,82679,0.000000
28-06-2022-11:30:12.313,83679,0.000000
28-06-2022-11:30:13.313,84679,0.000000
28-06-2022-11:30:14.312,85678,0.000000
28-06-2022-11:30:15.312,86678,0.000000
28-06-2022-11:30:16.312,87678,0.000000
28-06-2022-11:30:17.313,88679,0.000000
28-06-2022-11:30:18.312,89678,0.000000
28-06-2022-11:30:19.312,90678,0.000000
28-06-2022-11:30:20.312,91678,0.000000
28-06-2022-11:30:21.312,92678,0.000000
28-06-2022-11:30:22.312,93678,0.000000
28-06-2022-11:30:23.312,94678,0.000000
28-06-2022-11:30:25.824
