Puissance depolar
13-05-2022 10:30:58.708
Date	Time	Puissance depolar
13-05-2022 10:30:59.818	137	0.000000
13-05-2022 10:31:00.819	1138	0.844326
13-05-2022 10:31:01.820	2138	0.835561
13-05-2022 10:31:02.821	3139	0.837547
13-05-2022 10:31:03.821	4140	0.832491
13-05-2022 10:31:04.821	5140	0.833124
13-05-2022 10:31:05.821	6140	0.826367
13-05-2022 10:31:06.822	7141	0.826319
13-05-2022 10:31:07.822	8141	0.824914
13-05-2022 10:31:08.823	9142	0.824501
13-05-2022 10:31:09.824	10143	0.824510
13-05-2022 10:31:10.824	11143	0.820881
13-05-2022 10:31:11.824	12143	0.818284
13-05-2022 10:31:12.824	13143	0.819895
13-05-2022 10:31:13.824	14143	0.820658
13-05-2022 10:31:14.824	15143	0.819457
13-05-2022 10:31:15.824	16143	0.822938
13-05-2022 10:31:16.824	17143	0.820017
13-05-2022 10:31:17.824	18143	0.822100
13-05-2022 10:31:18.824	19143	0.819156
13-05-2022 10:31:19.824	20143	0.818917
13-05-2022 10:31:20.824	21143	0.817676
13-05-2022 10:31:21.824	22143	0.817178
13-05-2022 10:31:22.825	23144	0.817464
13-05-2022 10:31:23.826	24144	0.815829
13-05-2022 10:31:24.827	25145	0.813768
13-05-2022 10:31:25.826	26145	0.816281
13-05-2022 10:31:26.827	27146	0.819910
13-05-2022 10:31:29.338
