Energie IR
12-05-2022 12:57:28.022
Date	Time	Energie IR
12-05-2022 12:57:37.698	193	0.000000
12-05-2022 12:57:38.699	1194	0.000000
12-05-2022 12:57:39.698	2194	0.000000
12-05-2022 12:57:40.699	3194	25.693190
12-05-2022 12:57:41.698	4194	25.798310
12-05-2022 12:57:42.698	5194	25.573060
12-05-2022 12:57:43.700	6195	25.798310
12-05-2022 12:57:44.699	7195	25.573060
12-05-2022 12:57:45.701	8196	25.573060
12-05-2022 12:57:46.701	9197	25.573060
12-05-2022 12:57:47.702	10197	25.798310
12-05-2022 12:57:48.702	11197	25.918440
12-05-2022 12:57:49.701	12197	25.693190
12-05-2022 12:57:50.702	13197	25.452930
12-05-2022 12:57:51.703	14198	25.918440
12-05-2022 12:57:52.703	15199	26.038570
12-05-2022 12:57:53.705	16200	25.798310
12-05-2022 12:57:54.705	17200	25.798310
12-05-2022 12:57:55.705	18200	25.693190
12-05-2022 12:57:56.705	19200	26.278840
12-05-2022 12:57:57.705	20200	25.693190
12-05-2022 12:57:58.704	21200	25.452930
12-05-2022 12:57:59.704	22200	25.798310
12-05-2022 12:58:00.705	23200	26.038570
12-05-2022 12:58:01.706	24201	25.918440
12-05-2022 12:58:02.707	25202	25.918440
12-05-2022 12:58:03.708	26203	25.573060
12-05-2022 12:58:04.708	27204	25.918440
12-05-2022 12:58:05.709	28204	26.158700
12-05-2022 12:58:06.710	29205	25.693190
12-05-2022 12:58:07.709	30205	25.798310
12-05-2022 12:58:08.711	31206	25.798310
12-05-2022 12:58:09.711	32206	25.798310
12-05-2022 12:58:10.711	33206	26.278840
12-05-2022 12:58:11.712	34207	25.798310
12-05-2022 12:58:12.712	35207	25.452930
12-05-2022 12:58:13.712	36207	25.798310
12-05-2022 12:58:14.712	37207	25.918440
12-05-2022 12:58:15.713	38208	25.693190
12-05-2022 12:58:16.712	39208	25.693190
12-05-2022 12:58:17.713	40208	25.918440
12-05-2022 12:58:18.713	41208	25.693190
12-05-2022 12:58:19.713	42208	25.693190
12-05-2022 12:58:20.713	43208	26.278840
