Puissance depolar
12-05-2022 12:57:27.931
Date	Time	Puissance depolar
12-05-2022 12:57:37.698	193	0.000000
12-05-2022 12:57:38.699	1194	0.000000
12-05-2022 12:57:39.698	2194	0.000000
12-05-2022 12:57:40.699	3194	0.926873
12-05-2022 12:57:41.698	4194	0.923857
12-05-2022 12:57:42.698	5194	0.928235
12-05-2022 12:57:43.700	6195	0.929265
12-05-2022 12:57:44.699	7195	0.923585
12-05-2022 12:57:45.701	8196	0.925085
12-05-2022 12:57:46.701	9197	0.924923
12-05-2022 12:57:47.702	10197	0.919947
12-05-2022 12:57:48.702	11197	0.930708
12-05-2022 12:57:49.701	12197	0.920857
12-05-2022 12:57:50.702	13197	0.924578
12-05-2022 12:57:51.703	14198	0.924782
12-05-2022 12:57:52.703	15199	0.926040
12-05-2022 12:57:53.705	16200	0.925375
12-05-2022 12:57:54.705	17200	0.924390
12-05-2022 12:57:55.705	18200	0.922372
12-05-2022 12:57:56.705	19200	0.922185
12-05-2022 12:57:57.705	20200	0.925444
12-05-2022 12:57:58.704	21200	0.927457
12-05-2022 12:57:59.704	22200	0.927215
12-05-2022 12:58:00.705	23200	0.926023
12-05-2022 12:58:01.706	24201	0.000000
12-05-2022 12:58:02.707	25202	0.930390
12-05-2022 12:58:03.708	26203	0.919386
12-05-2022 12:58:04.708	27204	0.929075
12-05-2022 12:58:05.709	28204	0.926763
12-05-2022 12:58:06.710	29205	0.926915
12-05-2022 12:58:07.709	30205	0.921899
12-05-2022 12:58:08.711	31206	0.930178
12-05-2022 12:58:09.711	32206	0.927432
12-05-2022 12:58:10.711	33206	0.930678
12-05-2022 12:58:11.712	34207	0.923912
12-05-2022 12:58:12.712	35207	0.926381
12-05-2022 12:58:13.712	36207	0.000000
12-05-2022 12:58:14.712	37207	0.930267
12-05-2022 12:58:15.713	38208	0.926982
12-05-2022 12:58:16.712	39208	0.932178
12-05-2022 12:58:17.713	40208	0.928058
12-05-2022 12:58:18.713	41208	0.922029
12-05-2022 12:58:19.713	42208	0.926973
12-05-2022 12:58:20.713	43208	0.926973
