Energie IR
12-05-2022 11:46:44.367
Date	Time	Energie IR
12-05-2022 11:46:45.699	79	0.000000
12-05-2022 11:46:46.701	1080	0.000000
12-05-2022 11:46:47.703	2081	0.000000
12-05-2022 11:46:48.703	3081	25.798310
12-05-2022 11:46:49.704	4082	25.693190
12-05-2022 11:46:50.704	5082	25.693190
12-05-2022 11:46:51.703	6082	25.918440
12-05-2022 11:46:52.704	7083	25.798310
12-05-2022 11:46:53.706	8084	25.452930
12-05-2022 11:46:54.707	9085	25.573060
12-05-2022 11:46:55.708	10086	25.798310
12-05-2022 11:46:56.708	11086	26.038570
12-05-2022 11:46:57.708	12086	25.798310
12-05-2022 11:46:58.708	13087	26.038570
12-05-2022 11:46:59.710	14088	25.918440
12-05-2022 11:47:00.710	15088	25.918440
12-05-2022 11:47:01.710	16088	26.038570
12-05-2022 11:47:02.710	17088	25.798310
12-05-2022 11:47:03.711	18089	25.798310
12-05-2022 11:47:04.710	19089	26.038570
12-05-2022 11:47:05.711	20090	26.038570
12-05-2022 11:47:06.712	21091	25.693190
12-05-2022 11:47:07.713	22091	25.798310
12-05-2022 11:47:08.712	23091	26.038570
12-05-2022 11:47:09.712	24091	25.573060
12-05-2022 11:47:10.712	25091	26.038570
12-05-2022 11:47:11.713	26091	25.798310
12-05-2022 11:47:12.712	27091	25.918440
12-05-2022 11:47:13.713	28091	25.452930
12-05-2022 11:47:14.713	29091	25.918440
12-05-2022 11:47:15.714	30092	26.158700
12-05-2022 11:47:16.714	31093	25.918440
12-05-2022 11:47:17.716	32094	25.573060
12-05-2022 11:47:18.716	33094	25.798310
12-05-2022 11:47:19.716	34094	25.918440
12-05-2022 11:47:20.716	35094	25.798310
12-05-2022 11:47:21.716	36094	25.918440
12-05-2022 11:47:22.717	37095	25.798310
12-05-2022 11:47:23.716	38095	26.038570
12-05-2022 11:47:24.718	39096	25.573060
12-05-2022 11:47:25.718	40096	26.038570
12-05-2022 11:47:26.718	41096	25.798310
12-05-2022 11:47:27.718	42096	25.693190
12-05-2022 11:47:28.718	43097	25.798310
12-05-2022 11:47:29.719	44097	26.158700
12-05-2022 11:47:30.719	45097	25.798310
12-05-2022 11:47:31.718	46097	25.573060
12-05-2022 11:47:32.720	47098	25.798310
12-05-2022 11:47:33.720	48098	25.693190
12-05-2022 11:47:34.721	49099	25.452930
12-05-2022 11:47:35.720	50099	25.798310
12-05-2022 11:47:36.722	51100	25.798310
12-05-2022 11:47:37.721	52100	25.452930
12-05-2022 11:47:38.722	53100	25.573060
12-05-2022 11:47:39.721	54100	25.918440
12-05-2022 11:47:40.722	55100	25.918440
12-05-2022 11:47:41.722	56100	25.918440
12-05-2022 11:47:42.722	57101	26.158700
12-05-2022 11:47:43.722	58101	25.693190
12-05-2022 11:47:44.723	59102	25.693190
