Puissance depolar (W)
12-05-2022 12:52:34.560
Date	Time	Mean	Sigma	Max	Min	Rapport
12-05-2022 12:52:46.600	11027	0.084180	0.279194	0.925983	0.000000	331.662479
12-05-2022 12:52:58.604	23031	0.685314	0.440203	0.954731	0.000000	64.233703
12-05-2022 12:53:10.610	35036	0.682061	0.417495	0.935390	-0.012407	61.210820
12-05-2022 12:53:22.611	47038	0.024253	0.012530	0.059224	0.015662	51.664404
12-05-2022 12:53:34.617	59043	0.014096	0.001197	0.016391	0.011821	8.490493
12-05-2022 12:53:46.621	71047	0.012376	0.001211	0.014039	0.010278	9.784314
