Energie IR (mJ)
28-06-2022-11:37:55.800
Date,Time,Mean,Sigma,Max,Min,Rapport
28-06-2022-11:38:08.321,10838,29.282135,0.155087,29.462330,29.101940,0.529631
28-06-2022-11:38:21.831
