Energie_UV
28-06-2022-11:37:56.038
Date,Time,Energie_UV
28-06-2022-11:37:57.672,188,0.000000
28-06-2022-11:37:58.314,830,0.000000
28-06-2022-11:37:59.314,1830,0.000000
28-06-2022-11:38:00.313,2829,0.000000
28-06-2022-11:38:01.312,3829,0.000000
28-06-2022-11:38:02.312,4829,0.000000
28-06-2022-11:38:03.313,5830,0.000000
28-06-2022-11:38:04.313,6830,0.000000
28-06-2022-11:38:05.312,7829,0.000000
28-06-2022-11:38:06.312,8829,0.000000
28-06-2022-11:38:07.313,9830,0.000000
28-06-2022-11:38:08.312,10829,0.000000
28-06-2022-11:38:09.313,11829,0.000000
28-06-2022-11:38:10.312,12829,0.000000
28-06-2022-11:38:11.313,13829,0.000000
28-06-2022-11:38:12.313,14829,0.000000
28-06-2022-11:38:13.313,15830,0.000000
28-06-2022-11:38:14.312,16829,0.000000
28-06-2022-11:38:15.313,17829,0.000000
28-06-2022-11:38:16.314,18830,0.000000
28-06-2022-11:38:17.313,19829,0.000000
28-06-2022-11:38:18.313,20829,0.000000
28-06-2022-11:38:19.313,21829,0.000000
28-06-2022-11:38:21.831
