Puissance depolar (W)
28-06-2022-11:37:56.067
Date,Time,Mean,Sigma,Max,Min,Rapport
28-06-2022-11:38:08.321,10838,0.837811,0.006843,0.856473,0.828413,0.816712
28-06-2022-11:38:21.831
