Energie IR
12-05-2022 12:36:18.567
Date	Time	Energie IR
12-05-2022 12:36:22.694	129	0.000000
12-05-2022 12:36:23.694	1129	0.000000
12-05-2022 12:36:24.694	2129	0.000000
12-05-2022 12:36:25.694	3129	25.693190
12-05-2022 12:36:26.695	4130	26.398970
12-05-2022 12:36:27.696	5131	25.693190
12-05-2022 12:36:28.697	6132	25.798310
12-05-2022 12:36:29.697	7132	25.798310
12-05-2022 12:36:30.698	8133	25.693190
12-05-2022 12:36:31.698	9133	25.693190
12-05-2022 12:36:32.698	10133	25.798310
12-05-2022 12:36:33.699	11134	25.452930
12-05-2022 12:36:34.700	12135	26.038570
12-05-2022 12:36:35.701	13136	26.398970
12-05-2022 12:36:36.701	14136	26.158700
12-05-2022 12:36:37.702	15137	25.918440
12-05-2022 12:36:38.702	16137	25.693190
12-05-2022 12:36:39.703	17138	26.038570
12-05-2022 12:36:40.704	18139	25.798310
12-05-2022 12:36:41.704	19139	25.693190
12-05-2022 12:36:42.704	20139	25.798310
12-05-2022 12:36:43.705	21140	25.918440
12-05-2022 12:36:44.705	22140	26.158700
12-05-2022 12:36:45.705	23140	25.918440
12-05-2022 12:36:46.705	24140	25.798310
12-05-2022 12:36:47.705	25140	25.798310
12-05-2022 12:36:48.705	26140	25.918440
12-05-2022 12:36:49.705	27140	26.038570
12-05-2022 12:36:50.706	28141	26.038570
12-05-2022 12:36:51.706	29141	25.798310
12-05-2022 12:36:52.706	30141	26.038570
12-05-2022 12:36:53.707	31142	25.693190
12-05-2022 12:36:54.707	32142	25.918440
12-05-2022 12:36:55.707	33142	25.693190
12-05-2022 12:36:56.707	34142	25.573060
12-05-2022 12:36:57.707	35142	25.798310
12-05-2022 12:36:58.708	36143	25.798310
12-05-2022 12:36:59.709	37144	25.918440
12-05-2022 12:37:00.709	38144	26.038570
12-05-2022 12:37:01.710	39145	25.918440
12-05-2022 12:37:02.711	40146	25.918440
12-05-2022 12:37:03.712	41147	26.398970
12-05-2022 12:37:04.714	42148	25.798310
12-05-2022 12:37:05.713	43148	26.038570
12-05-2022 12:37:06.713	44148	25.918440
12-05-2022 12:37:07.713	45148	26.038570
12-05-2022 12:37:08.713	46148	26.158700
12-05-2022 12:37:09.713	47148	26.158700
12-05-2022 12:37:10.713	48148	26.158700
12-05-2022 12:37:11.713	49148	26.038570
12-05-2022 12:37:12.714	50149	25.918440
12-05-2022 12:37:13.714	51149	25.918440
